url,user name,ratings,review title,review
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,gaurav aggarwal,4.0 out of 5 stars,Beat customer service...,"Jio router keeps rebooting every 10 minutes with this product..not worthy at all... tech support number not reachable.. all in all... not useful product...just put up a replacement request..will update later.EDIT: best customer service, i am moved by their support hence changing rating from 1 to 4. The peraon kept supporting even at 10 PM got another replacement and it is working good. Kudos to the company."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Jyothika,4.0 out of 5 stars,Excellent customer service,Customer service from Prashant was quick and helpful. Had a issue with our unit and a replacement was processed instantly after raising the issue.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,PRAMOTH,4.0 out of 5 stars,Pretty good,"Bought this recently after using Resonate ups for 2+ years. Initial impressions, it is good but have a feeling it doesn't give me 3.5+ hours backup like resonate for my TP link Archer C4 router. I am getting close to 3 hours but have to test more."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,shashank kumar,4.0 out of 5 stars,"Decent product, customer service could be betted","UPS worked for a while but due to some fault, it had some problems. But I was able to get a replacement ( process was quick ) and now it's working perfectly.The only issue is that the customer care kept texting me and pestering me for this review. If I don't do it once, just leave me alone. Why bother me a dozen times?Thanks."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Rahul Savarn,4.0 out of 5 stars,Service and support,Had ordered Oatker Miniups. first one received was faulty so chatted on the WhatsApp no provided for support. Response was quick and they initiated pickup and delivered new one which is working fine now.Great support received from Komal at Oatker.Thank you.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Ankit Singh,4.0 out of 5 stars,Oakter UPS,Easy to install and working great.Cable length could have been a little longer as the available cable length make this UPS to be placed close to power source and the modem simultaneously.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Kundan Kumar,4.0 out of 5 stars,Good option for backup,Although item got faulty within one week but thanks for their tech support and they replaced within two days. Now its working good and i will recommend for  seamless wifi connectivity
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Amit Rathor,4.0 out of 5 stars,Good product,Product is good giving 2 hrs backup to my router.Backup time may vary from router to router depending on the power consumption.Overall it's a good product in this budget.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Varala V.,4.0 out of 5 stars,It's good but it only last around 2 hours.,It's good but it only last around 2 hours.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,chanikya,4.0 out of 5 stars,Very good product. Power backup is less than expected,Very good product. Power backup is less than expected but the service support of the product is very good. Had an issue with the product I received but the support team is very helpful and replaced it quickly.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Dhaval Patel,4.0 out of 5 stars,Good backup -2:30 hours,Good option to go for it..I got 2:30 to 2:45 hours backup for wifi...looks decent product.Hope it will continue..:)
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,S M,4.0 out of 5 stars,No Disruptions,Great product of Indian brand. Works as expected.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Vaibhav Shah,4.0 out of 5 stars,WIFI UPS,Its really good ups for wifi.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Ajay,4.0 out of 5 stars,Battery backup,"Used nokia router and test 2 days , back up is 2.30 hrs only , battery backup is too low"
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,ram,4.0 out of 5 stars,Very Good customer support,"Customer support is awsome, they helped me with issue, very quick response from them, by far the best customer support( oakter) thanks komal gulati for u r support. Thanks"
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Govinda kumar NV,4.0 out of 5 stars,Product is ok,"Good, unfortunately after 3 months not working, got replacement. Happy say customer support is very good....good to go with this."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Atmadeo mishra,4.0 out of 5 stars,UPS issue.,Spoke to Rabia Nabi. She was helpful and helped me to replace my faulty oakter ups. Waiting for delivery. Thank you.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,aakash,4.0 out of 5 stars,Great Product,Using the device since a weekAnd I have had no problems with it.Installing is as easy as just plugging the device in to your router.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Varshith,4.0 out of 5 stars,Backup is good,I am using jio router product is giving backup for 2 hrs.Try to add more backup hrs
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Avinash Kumar Pandey,4.0 out of 5 stars,Support from manufacturer,Back is 3 to 3.5 hour. Best part you will get quick response from manufacturer if reuired
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,SALONI BALIAR SINGH,4.0 out of 5 stars,it works!,It works wonderful
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Amazon Customer,4.0 out of 5 stars,Good product,Overall it is a great product to have uninterrupted internet connection especially for people working from home.- Easy installation- provides 3-4 hours backup
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Debo,4.0 out of 5 stars,After sales service,Good after sales service by the team to replace my product after it developed technical defects.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Yadhu Krishna,4.0 out of 5 stars,Good,Good
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Amit,4.0 out of 5 stars,Easy to Install,It is easy to install and it works pretty good for at least 3 hrs
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Prem Yerra,4.0 out of 5 stars,Good & Best customer service,"Hi, my previous UPS router was replaced as it not providing backup for atleast 30 minutes for my Jio router. Oakter team replaced with new one & currently I am getting backup for 30 minutes atleast."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Ravibaskar,4.0 out of 5 stars,Great Customer Support,"I have been using this product for the past four months, during this tenure I had faced no issues initially but roughly after 3 months the power back up started shrinking extremely and the least duration was under 30 minutes, that’s when I contacted the customer support via whatsapp and I must say the whole experience with the customer support team was simply surprising. They were very polite and helpful throughout the process. It was very easy for me to explain the issue to them then at the end of the first conversation itself they arranged a replacement for the product since it is just 3-4 months old. They took all the responsibility of the issue and sent me a new product which I am currently using, now the back up I am getting is 4+ hours which is based on my usage.So finally I am not sure how often I buy a product from this brand but I will never forget the support I received from this this brand. Cheers!!!"
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Akshay Goyal,4.0 out of 5 stars,Customer Support Helped to replace the product,"UPS works well with power backup of 2 hours, but it stopped workinf after 1 month. Customer care was quick and helped me to replace it quickly"
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Ankit Saxena,4.0 out of 5 stars,Good initial performance,I have been using it for the last 2 weeks without any issues. I have only tested backup for 30 minutes without power and the performance of the router was good during this time.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Abhishek S.,4.0 out of 5 stars,The product is very satisfactory.,Been using it for a month now and it eases out the power issue for me.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Arup,4.0 out of 5 stars,Got defevtive but replaced with ease,Mine router is giving very less backup. I have contacted customer care and they replaced it with another one. Very good customer support service.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Dipta sudarshan,4.0 out of 5 stars,Customer care response better than the actual product,"The ups worked fine for 5-6 days, after which the led stopped lighting up and power supply also stopped. The very few days that it functioned the backup time was good above 2 hours easily. The CUSTOMER CARE RESPONSE is GREAT. after reporting about the faultiness of the device, Komal (customer care representative) was very helpful and immediately placed an order for the replacement of the device. Now I am awaiting for the new device to reach after which I can tell how long it actually works."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Sudhir Sarwade,4.0 out of 5 stars,Excellent Customer Support,Using this product since almost 4 month. Product is very useful but had some backup  and connnection issue. Customer care support team response was quick and helpful. Returning the product and getting the replacement as the product is under warranty period.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,SUJAY KR SINGH,4.0 out of 5 stars,Good investment,This review is after 15 days of usage. Product is quite easy to install. Backup wise - does the job well.
